Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.615,158,215,35,NL,189,86,3.22,16,0.236,0.296
0.462,158,192.2,35,NL,172,88,3.97,35,0.238,0.294
0.65,158,200.2,29,NL,175,84,3.54,8,0.232,0.284
0.545,158,216,26,AL,211,89,3.21,14,0.257,0.318
0.474,158,153.2,25,NL,151,94,4.92,12,0.256,0.346
0.478,157,170.1,26,NL,168,98,4.44,2,0.254,0.302
0.579,157,169.2,22,AL,163,92,4.56,4,0.252,0.302
0.55,157,154.2,27,AL,117,53,2.73,6,0.208,0.268
0.471,157,171.1,36,AL,170,97,4.57,16,0.256,0.339
0.556,157,197,27,NL,194,77,3.11,9,0.258,0.307
0.52,157,195,26,NL,192,89,3.55,11,0.257,0.325
0.652,156,192.2,30,NL,153,83,3.5,8,0.22,0.298
0.588,156,130,29,NL,118,59,3.74,10,0.24,0.302
0.706,156,136,28,AL,113,47,2.98,4,0.223,0.278
0.545,156,160.2,26,AL,176,83,4.37,4,0.278,0.301
0.619,156,163.1,24,AL,154,75,4.08,2,0.248,0.319
0.52,156,200,24,NL,184,93,3.78,12,0.25,0.325
0.65,156,194.2,24,NL,207,100,3.56,15,0.273,0.317
0.56,156,215,31,AL,233,114,4.4,26,0.277,0.339
0.643,155,161.1,30,NL,139,55,2.73,3,0.227,0.264
0.765,155,154.1,25,NL,148,55,3.03,32,0.25,0.303
0.389,155,183,31,AL,162,77,3.1,9,0.237,0.303
0.611,155,127.1,26,NL,115,56,3.46,4,0.236,0.278
0.591,155,200.1,31,AL,190,89,3.55,18,0.251,0.32
0.591,155,190.1,25,NL,174,77,3.4,8,0.241,0.291
0.304,154,204.2,36,AL,190,115,4.53,18,0.245,0.319
0.545,154,189,29,NL,173,86,3.71,10,0.243,0.292
0.625,154,179,33,AL,167,70,3.52,0,0.244,0.268
0.607,154,198.2,25,NL,198,88,3.53,19,0.261,0.321
0.636,154,192,26,NL,182,67,3,1,0.252,0.299
0.522,154,192.2,26,AL,186,97,4.02,11,0.25,0.305
0.375,154,139.2,26,NL,105,54,3.29,11,0.209,0.274
0.818,153,143,26,AL,125,69,4.03,1,0.228,0.285
0.524,153,160.1,28,NL,163,83,4.21,9,0.26,0.324
0.563,153,140.2,23,NL,107,58,3.33,0,0.204,0.255
0.583,153,171.2,37,NL,181,83,4.19,4,0.273,0.342
0.522,153,204.2,30,AL,211,92,3.74,3,0.263,0.311
0.444,153,125.1,30,NL,115,58,3.81,5,0.24,0.308
0.565,153,180.1,29,NL,157,82,3.89,5,0.235,0.32
0.455,153,162.1,27,AL,139,79,3.55,11,0.226,0.294
0.579,153,186.1,30,NL,151,80,3.43,4,0.223,0.312
0.579,153,191.1,29,AL,192,78,3.34,5,0.262,0.302
0.708,153,181.1,23,NL,162,74,3.38,5,0.236,0.3
0.5,153,191.1,28,NL,177,84,3.81,13,0.248,0.32
0.6,153,170.1,25,AL,194,100,5.02,7,0.288,0.349
0.6,153,195.2,26,NL,186,69,2.94,10,0.251,0.297
0.609,153,201.2,26,NL,206,89,3.75,8,0.267,0.337
0.591,152,171,30,NL,191,100,4.68,6,0.282,0.323
0.313,152,154,27,NL,134,77,3.97,28,0.232,0.312
0.591,152,169.2,24,AL,152,82,4.24,5,0.24,0.301
0.429,152,179.2,35,AL,172,83,3.91,3,0.25,0.322
0.571,152,131,24,NL,129,64,4.12,2,0.263,0.323
0.5,152,188,26,NL,189,98,4.21,9,0.264,0.343
0.3,151,197.1,23,NL,179,94,3.88,12,0.241,0.322
0.615,151,137.1,23,NL,95,43,2.62,3,0.193,0.256
0.412,151,188.2,24,AL,165,88,3.91,14,0.234,0.313
0.348,151,197.1,33,NL,240,114,4.79,4,0.308,0.36
0.458,151,188.1,26,NL,186,103,4.49,26,0.257,0.329
0.842,151,152.1,26,NL,123,50,2.72,2,0.217,0.274
0.409,151,184.2,25,NL,194,93,4.05,16,0.273,0.328
0.536,151,202.1,41,NL,218,97,4.09,3,0.273,0.302
0.381,151,184.2,36,NL,178,86,4,12,0.254,0.318
0.565,151,175.2,33,AL,169,95,4.51,13,0.258,0.35
0.417,151,169.2,32,NL,179,92,4.67,11,0.268,0.306
0.556,151,186.2,27,AL,178,78,3.33,11,0.252,0.282
0.6,151,171,27,NL,147,85,4.21,12,0.233,0.311
0.48,151,193.2,28,AL,180,97,4.37,23,0.247,0.297
0.435,151,187.1,27,AL,199,92,4.08,7,0.274,0.331
0.579,150,150,27,NL,147,70,3.84,8,0.259,0.329
0.524,150,177,29,NL,168,78,3.46,5,0.249,0.29
0.688,150,132.2,38,NL,108,57,3.66,6,0.219,0.289
0.462,150,137.1,24,AL,126,66,4.19,2,0.241,0.312
0.579,150,146.1,29,AL,134,64,3.32,4,0.24,0.286
0.435,150,171.2,29,NL,179,94,4.67,14,0.268,0.331
0.609,150,188.2,26,NL,193,103,4.67,8,0.265,0.325
0.5,150,169.1,25,AL,149,65,3.35,10,0.231,0.285
0.684,150,207.1,26,AL,189,83,3.34,1,0.238,0.298
0.458,150,201.1,38,AL,191,79,3.31,6,0.249,0.291
0.44,150,194,23,NL,168,87,3.62,4,0.231,0.316
0.6,150,204.2,26,AL,193,94,3.91,9,0.248,0.308
0.391,150,199.1,32,NL,184,97,4.15,12,0.25,0.329
0.591,149,163.1,33,AL,162,84,4.57,5,0.256,0.316
0.55,149,182,30,AL,186,95,4.45,2,0.261,0.3
0.4,149,154.1,25,AL,156,87,4.84,4,0.259,0.328
0.75,149,181.2,34,NL,174,75,3.32,14,0.256,0.324
0.5,149,170.2,38,NL,165,93,4.59,13,0.252,0.316
0.389,149,181.1,33,AL,168,78,3.38,5,0.245,0.301
0.375,149,172,26,AL,196,103,4.92,18,0.287,0.332
0.526,149,166.1,26,AL,142,56,2.87,12,0.231,0.294
0.588,149,143,30,AL,128,52,2.52,10,0.238,0.285
0.476,148,171,32,NL,167,84,4.21,5,0.256,0.335
0.4,148,137,30,AL,115,63,4.01,16,0.226,0.293
0.286,148,174.1,28,NL,200,116,5.52,8,0.283,0.35
0.458,148,177.1,26,NL,163,89,4.11,24,0.246,0.322
0.789,148,177.2,29,NL,152,54,2.63,3,0.234,0.291
0.455,148,206,28,NL,244,117,4.67,12,0.295,0.331
0.571,148,170.1,28,AL,186,87,4.49,3,0.277,0.325
0.474,148,173.2,23,NL,192,97,4.2,0,0.28,0.346
0.552,147,203,27,AL,210,106,3.99,7,0.265,0.315
0.429,147,107,26,AL,96,53,4.29,15,0.241,0.311
0.611,147,162,22,NL,174,82,4.39,6,0.274,0.332
0.571,147,199,35,AL,218,95,4.12,8,0.282,0.324
0.409,147,176.2,30,NL,176,93,4.33,9,0.261,0.344
0.5,147,193.2,28,AL,201,98,4.46,1,0.265,0.325
0.5,147,202.2,26,NL,201,88,3.55,5,0.261,0.322
0.455,147,176.2,28,AL,196,89,4.18,16,0.283,0.349
0.462,147,207.2,23,AL,214,102,4.16,28,0.269,0.34
0.609,147,157.2,27,NL,169,82,4.51,5,0.273,0.309
0.6,146,141,28,NL,131,72,4.15,4,0.244,0.313
0.15,146,148.1,26,AL,154,86,4.61,14,0.267,0.35
0.818,146,200.2,29,NL,186,70,2.83,2,0.245,0.278
0.375,146,180.1,31,NL,181,90,4.34,6,0.262,0.319
0.722,146,129.2,25,AL,119,56,3.82,1,0.238,0.304
0.444,146,153.1,32,AL,157,95,5.22,18,0.266,0.348
0.5,146,157.1,24,NL,148,76,3.49,15,0.247,0.322
0.421,146,192.1,28,NL,195,86,3.51,9,0.261,0.313
0.571,146,200,26,AL,187,71,2.92,1,0.252,0.302
0.55,146,199,39,AL,191,91,3.71,4,0.249,0.286
0.381,146,173.2,27,NL,190,110,5.03,10,0.277,0.353
0.458,146,216.1,27,AL,193,76,2.83,4,0.237,0.278
0.692,146,176.1,24,AL,162,83,4.19,10,0.244,0.302
0.591,145,166.2,26,AL,172,76,4,4,0.268,0.307
0.471,145,130,25,NL,125,63,4.08,8,0.254,0.316
0.381,145,180.1,34,AL,209,109,5.29,20,0.284,0.331
0.455,145,103,27,AL,94,51,4.28,1,0.242,0.322
0.476,145,172,23,NL,150,86,3.98,15,0.236,0.327
0.5,145,194.2,27,AL,186,88,3.84,10,0.252,0.317
0.583,145,147,27,AL,132,62,3.67,17,0.239,0.312
0.542,145,186,33,NL,183,101,4.02,15,0.252,0.289
0.632,145,175.1,25,AL,162,100,4.67,9,0.243,0.299
0.524,145,179.1,24,NL,151,88,4.12,10,0.232,0.294
0.4,145,186.2,33,AL,204,118,5.26,37,0.285,0.366
0.391,144,184,30,NL,193,90,4.16,5,0.272,0.311
0.563,144,155.1,24,AL,140,72,3.88,2,0.237,0.297
0.6,144,166.2,33,NL,148,77,3.83,15,0.239,0.307
0.429,144,168,28,AL,168,88,4.55,2,0.259,0.312
0.364,144,197.2,33,AL,202,104,4.42,8,0.267,0.308
0.565,144,182,28,AL,169,100,4.7,9,0.245,0.324
0.478,144,186,25,AL,190,96,4.45,4,0.263,0.34
0.6,144,140.1,26,NL,117,44,2.69,8,0.228,0.288
0.545,144,180.2,27,NL,180,92,4.18,15,0.261,0.326
0.429,144,200,26,NL,163,73,3.1,4,0.222,0.292
0.522,144,168,29,AL,166,84,4.29,8,0.259,0.337
0.333,144,185.1,28,AL,202,127,5.73,15,0.281,0.347
0.593,144,194.2,25,NL,193,79,3.33,3,0.255,0.29
0.55,144,199,31,NL,179,67,2.98,5,0.24,0.292
0.364,144,194.1,27,NL,209,97,4.26,14,0.273,0.333
0.25,143,119.2,30,NL,114,73,5.19,9,0.249,0.333
0.5,143,141.2,35,NL,141,64,3.81,11,0.26,0.334
0.538,143,174.1,30,AL,198,114,5.52,7,0.278,0.326
0.786,143,121.2,26,NL,109,49,3.62,8,0.24,0.293
0.857,143,81.1,24,NL,36,23,2.43,2,0.132,0.22
0.435,143,154,25,NL,169,86,4.79,7,0.277,0.35
0.286,143,181,34,AL,205,102,4.92,4,0.286,0.341
0.471,143,141.2,23,NL,154,84,5.02,12,0.276,0.354
0.467,143,148,28,NL,142,53,3.04,5,0.255,0.302
0.409,143,160,29,AL,166,71,3.88,12,0.266,0.305
0.563,143,164,38,NL,174,64,3.18,33,0.275,0.336
0.385,143,153,23,AL,151,76,4.18,19,0.259,0.335
0.455,143,163.2,25,AL,151,77,3.85,3,0.248,0.328
0.81,143,150.1,24,AL,119,58,3.29,7,0.216,0.312
0.417,143,138.1,28,NL,129,62,3.64,15,0.247,0.285
0.346,143,176.2,28,AL,190,116,5.4,32,0.273,0.365
0.842,143,211,33,NL,192,74,2.86,6,0.239,0.274
0.455,143,175.2,23,AL,173,88,4.3,17,0.255,0.322
0.765,142,174.2,21,NL,153,56,2.68,6,0.237,0.288
0.625,142,128.1,24,AL,100,60,3.86,5,0.215,0.299
0.476,142,145.1,34,AL,145,64,3.53,8,0.252,0.306
0.421,142,157.1,24,NL,159,81,4.35,9,0.269,0.352
0.348,142,157.1,30,AL,179,104,5.61,5,0.287,0.38
0.654,142,204.2,35,AL,211,114,4.66,12,0.266,0.308
0.3,142,199.2,24,NL,223,107,4.37,1,0.282,0.323
0.522,142,199,27,NL,208,84,3.62,12,0.268,0.315
0.619,142,177,24,AL,185,87,4.32,12,0.271,0.314
0.429,142,170.1,29,NL,193,114,5.71,24,0.282,0.356
0.48,142,176.2,31,AL,190,95,4.33,9,0.275,0.312
0.8,142,188.2,29,AL,147,63,2.81,9,0.214,0.265
0.611,142,130,24,NL,106,55,3.6,30,0.219,0.289
0.5,142,171,26,NL,176,86,4.21,17,0.268,0.349
0.52,142,215.2,33,NL,213,107,4.17,11,0.258,0.333
0.667,141,144,30,AL,125,66,3.81,10,0.229,0.303
0.4,141,155,29,AL,161,86,4.88,5,0.264,0.341
0.522,141,177.2,27,NL,169,82,3.95,5,0.253,0.331
0.591,141,198.1,35,NL,183,87,3.54,10,0.246,0.292
0.722,141,136.1,25,AL,123,47,2.77,6,0.24,0.274
0.56,141,217.1,29,AL,201,94,3.85,10,0.245,0.293
0.526,141,177.2,27,NL,201,97,4.81,18,0.287,0.335
0.467,141,141,29,NL,161,79,4.6,15,0.285,0.321
0.6,140,161.1,36,AL,160,88,4.91,2,0.258,0.316
0.7,140,167.1,32,AL,164,83,3.98,3,0.254,0.321
0.688,140,146,30,AL,141,68,4.01,8,0.253,0.291
0.478,140,181.1,34,NL,152,78,3.52,14,0.225,0.281
0.563,140,153,37,AL,150,72,3.65,11,0.25,0.319
0.684,140,134.1,29,NL,121,68,4.22,4,0.238,0.29
0.545,140,158.2,25,AL,167,88,4.37,9,0.268,0.336
0.444,140,133,24,NL,144,91,6.02,8,0.281,0.353
0.333,140,179.1,27,NL,186,108,4.62,30,0.268,0.361
0.727,140,172,28,AL,155,73,3.77,0,0.244,0.32
0.533,140,134,27,AL,103,40,2.55,9,0.209,0.256
0.65,140,192.2,30,NL,166,75,3.04,9,0.236,0.315
0.44,140,191.2,35,AL,215,114,5.07,18,0.281,0.328
0.5,140,193.2,27,NL,185,90,3.76,18,0.253,0.322
0.542,140,189,30,NL,178,80,3.67,6,0.25,0.311
0.619,140,181.1,23,AL,166,71,3.47,21,0.248,0.312
0.316,140,180,25,AL,197,107,4.7,13,0.278,0.353
0.6,139,172,33,AL,166,71,3.56,13,0.249,0.296
0.636,139,145.2,23,AL,131,71,3.89,6,0.239,0.313
0.353,139,142.2,33,AL,169,109,6.81,18,0.291,0.359
0.467,139,114.1,24,NL,88,63,4.57,7,0.21,0.306
0.476,139,189.1,32,AL,217,124,5.37,16,0.286,0.354
0.6,139,139.1,22,AL,130,63,3.75,10,0.252,0.348
0.632,139,154,26,AL,126,66,3.51,1,0.221,0.254
0.5,139,189.2,24,NL,198,86,3.84,6,0.275,0.332
0.652,139,165.1,29,AL,149,68,3.65,15,0.242,0.313
0.56,139,184.1,33,NL,161,90,4.1,14,0.238,0.313
0.667,139,152,27,NL,152,60,3.38,2,0.257,0.294
0.545,139,203.2,34,AL,223,100,4.15,4,0.276,0.324
0.647,139,162.1,25,AL,161,84,4.32,15,0.261,0.338
0.48,139,205.2,33,NL,205,99,3.76,16,0.255,0.304
0.65,139,179.2,33,NL,164,62,2.71,12,0.244,0.31
0.654,139,228.2,34,NL,189,74,2.83,11,0.229,0.299
0.375,138,75.2,25,NL,41,24,2.62,1,0.155,0.225
0.444,138,149.2,24,NL,158,82,4.45,2,0.268,0.33
0.476,138,172.2,32,NL,165,93,3.96,15,0.254,0.318
0.636,138,186,27,NL,204,107,4.79,8,0.278,0.336
0.588,138,118,29,NL,117,64,4.5,4,0.261,0.333
0.692,138,146,29,AL,133,50,2.53,0,0.241,0.281
0.5,138,157,31,AL,152,89,4.99,15,0.252,0.308
0.688,138,138,23,NL,127,58,3.65,21,0.248,0.314
0.45,138,187.2,27,NL,193,80,3.4,9,0.268,0.316
0.6,138,198.2,27,NL,178,64,2.85,8,0.239,0.281
0.25,138,151,34,AL,149,83,4.59,5,0.26,0.348
0.5,138,157.1,24,NL,178,88,4.4,7,0.284,0.335
0.45,138,137.1,22,NL,114,64,3.28,7,0.227,0.319
0.632,138,185.2,24,NL,181,79,3.64,3,0.258,0.319
0.4,138,77.2,27,NL,40,23,2.55,10,0.147,0.301
0.167,137,104,30,NL,105,58,4.85,7,0.261,0.338
0.667,137,121.2,26,AL,92,46,3.11,4,0.211,0.31
0.533,137,160,28,AL,140,93,5.12,1,0.233,0.308
0.409,137,166,29,AL,187,100,5.37,3,0.288,0.341
0.462,137,128.2,31,NL,113,53,3.64,16,0.233,0.297
0.44,137,187.1,29,NL,180,96,4.08,8,0.255,0.331
0.375,137,167.1,34,AL,188,92,4.73,3,0.285,0.338
0.308,137,149,25,AL,137,69,3.56,9,0.243,0.343
0.5,137,161.2,28,AL,156,73,3.45,2,0.249,0.299
0.565,137,190,25,AL,207,90,3.74,8,0.278,0.314
0.346,137,187,38,NL,212,110,5.05,26,0.285,0.347
0.571,137,167.2,28,NL,172,96,4.99,10,0.266,0.33
0.696,136,174.2,24,NL,160,80,3.35,3,0.245,0.338
0.4,136,141,33,NL,143,74,4.09,8,0.264,0.334
0.571,136,122,28,NL,123,42,3.02,3,0.257,0.291
0.5,136,147.1,31,NL,160,77,4.52,5,0.277,0.345
0.5,136,190,42,NL,193,99,4.26,4,0.266,0.334
0.318,136,157,31,AL,164,78,4.18,6,0.268,0.32
0.519,136,194.2,42,NL,217,94,4.16,6,0.282,0.304
0.5,136,146,30,AL,142,64,3.45,4,0.253,0.316
0.727,136,185.2,28,AL,193,77,3.54,5,0.266,0.301
0.688,136,147.1,27,AL,153,67,3.85,6,0.271,0.316
0.538,136,200,30,NL,176,86,3.46,6,0.24,0.323
0.571,136,193.2,37,NL,204,88,4,10,0.273,0.331
0.714,135,146,35,NL,117,48,2.9,1,0.22,0.253
0.588,135,165.1,28,AL,184,104,5.12,13,0.279,0.346
0.538,135,136.2,34,NL,106,48,2.83,16,0.213,0.278
0.563,135,151.2,27,NL,143,70,3.68,5,0.247,0.301
0.611,135,163.1,23,NL,166,79,3.97,8,0.263,0.309
0.35,135,153.1,32,AL,171,108,5.87,22,0.285,0.345
1,135,90,26,AL,46,15,1.4,12,0.149,0.218
0.545,135,174,26,AL,185,103,5.17,6,0.274,0.325
0.308,135,175.1,29,NL,197,110,4.98,18,0.281,0.339
0.474,135,127.2,27,NL,125,56,3.74,10,0.254,0.305
0.444,135,164.1,38,AL,172,85,4,5,0.268,0.311
0.4,135,170.1,26,AL,182,89,4.33,15,0.274,0.325
0.579,134,166,35,NL,153,77,3.85,15,0.237,0.302
0.621,134,179.2,34,AL,181,84,4.16,13,0.264,0.324
0.579,134,168.2,31,AL,187,89,4.48,5,0.28,0.327
0.65,134,158.2,32,NL,161,80,4.37,3,0.262,0.306
0.625,134,136.1,32,NL,133,71,4.56,8,0.253,0.327
0.563,134,149,34,NL,137,73,4.17,10,0.247,0.325
0.571,134,155.2,30,NL,154,86,4.74,22,0.258,0.332
0.786,134,143.1,25,AL,120,46,2.76,12,0.228,0.291
0.6,134,197,24,AL,178,92,3.97,11,0.242,0.306
0.381,134,208.2,36,NL,202,85,3.28,7,0.256,0.308
0.286,134,156.1,28,NL,157,103,5.35,11,0.265,0.353
0.565,134,212.1,34,NL,214,95,3.69,18,0.266,0.329
0.6,134,175.2,29,NL,206,104,4.82,11,0.291,0.332
0.75,133,141.1,29,NL,113,47,2.74,11,0.22,0.286
0.5,133,158,31,AL,160,79,4.22,7,0.261,0.317
0.417,133,170.1,34,AL,211,107,5.18,18,0.304,0.352
0.5,133,117,29,NL,97,51,3.69,15,0.223,0.26
0.474,133,153,25,AL,136,57,3.24,15,0.238,0.29
0.621,133,213.1,26,AL,210,82,3.29,1,0.258,0.309
0.409,133,178,29,AL,165,109,5.16,16,0.239,0.308
0.6,133,153.2,29,AL,137,84,4.69,25,0.24,0.331
0.6,132,157,30,AL,138,76,4.18,9,0.235,0.288
0.636,132,118.2,23,AL,114,61,4.25,4,0.25,0.324
0.583,132,100.1,29,AL,81,43,3.41,13,0.214,0.276
0.611,132,159,23,AL,136,57,3.06,4,0.231,0.291
0.55,132,187.1,34,NL,174,79,3.6,6,0.245,0.29
0.421,132,170.1,29,AL,182,108,5.34,6,0.273,0.335
0.579,132,156.1,35,NL,155,78,4.49,13,0.261,0.306
0.619,132,163.1,23,NL,151,64,2.7,6,0.243,0.315
0.2,132,190.2,35,AL,223,116,5.1,6,0.292,0.352
0.438,131,155,29,NL,165,87,4.94,6,0.271,0.317
0.278,131,154,32,AL,143,99,5.38,4,0.246,0.32
0.44,131,187,30,NL,203,96,4.14,10,0.277,0.316
0.278,131,155.2,26,NL,177,109,5.15,2,0.286,0.357
0.6,131,84,27,AL,45,17,1.5,17,0.157,0.266
0.619,131,181,31,AL,134,67,3.13,7,0.203,0.269
0.458,131,203.2,33,NL,219,97,3.93,6,0.274,0.308
0.5,131,179.2,34,NL,167,85,3.61,8,0.246,0.33
0.435,131,201,28,AL,205,105,4.25,18,0.261,0.314
0.6,131,174.1,27,AL,159,86,4.39,21,0.242,0.312
0.467,130,117.1,27,NL,120,69,4.91,4,0.262,0.335
0.625,130,114,35,AL,99,61,4.18,5,0.229,0.292
0.643,130,162,33,AL,151,74,3.72,4,0.246,0.294
0.308,130,126.1,25,NL,121,65,4.42,5,0.253,0.332
0.35,130,160.1,25,NL,163,85,4.49,4,0.269,0.32
0.429,130,174,26,NL,155,78,3.98,5,0.242,0.308
0.474,130,146.1,28,AL,143,67,3.81,2,0.257,0.312
0.346,130,208,32,AL,213,113,4.33,3,0.267,0.326
0.435,129,163.1,25,NL,172,88,4.13,9,0.268,0.323
0.2,129,129.2,24,NL,136,82,5.14,3,0.266,0.318
0.444,129,125.1,26,AL,127,60,4.02,5,0.262,0.323
0.529,129,132.1,25,NL,129,53,3.4,20,0.257,0.306
0.722,129,150.1,24,AL,179,103,5.57,14,0.297,0.352
0.421,129,168.1,27,NL,179,95,4.49,14,0.274,0.337
0.462,129,125.2,21,AL,106,49,3.22,3,0.226,0.296
0.5,129,193.2,29,AL,205,106,4.74,12,0.269,0.338
0.536,129,204.2,25,AL,211,89,3.43,7,0.268,0.306
0.423,129,183.1,24,NL,187,107,4.37,8,0.264,0.338
0.545,129,202,35,NL,209,86,3.74,7,0.267,0.301
0.579,129,189.1,27,AL,187,104,4.56,9,0.263,0.33
0.231,129,122,27,NL,135,76,5.02,11,0.281,0.363
0.583,128,107.1,33,AL,109,57,4.28,3,0.258,0.314
0.529,128,158,30,NL,131,71,3.93,10,0.228,0.305
0.727,128,147.1,26,AL,140,70,3.91,8,0.247,0.316
0.545,128,179.1,29,AL,175,78,3.66,14,0.254,0.304
0.652,128,191.2,43,NL,200,81,3.43,8,0.269,0.3
0.524,128,187,31,AL,197,82,3.71,14,0.267,0.31
0.526,128,175,26,NL,151,68,3.09,16,0.233,0.288
0.5,128,185.1,41,AL,198,85,3.74,9,0.275,0.321
0.526,128,149.2,27,NL,148,66,3.55,10,0.257,0.315
0.5,128,198,27,AL,192,110,4.68,20,0.252,0.313
0.429,128,185.2,29,NL,180,81,3.73,5,0.258,0.316
0.556,127,143.1,27,AL,117,80,4.14,7,0.22,0.3
0.684,127,156.2,31,AL,138,74,3.33,8,0.235,0.31
0.538,127,150.2,30,NL,137,77,4.36,15,0.241,0.297
0.526,127,183,23,NL,160,78,3.74,14,0.236,0.31
0.6,127,196.1,33,NL,181,80,3.44,15,0.245,0.307
0.571,127,77,23,NL,48,19,2.1,1,0.178,0.266
0.789,126,184.2,34,AL,166,82,3.9,13,0.243,0.304
0.389,126,145.2,32,NL,153,77,4.57,4,0.272,0.35
0.583,126,170.2,26,NL,146,64,3.11,3,0.231,0.295
1,126,69,29,AL,33,11,1.43,4,0.14,0.202
0.2,126,76,25,NL,48,15,1.78,13,0.18,0.291
0.333,126,73,28,AL,54,31,3.08,21,0.202,0.279
0.4,126,169.2,41,AL,169,97,4.46,2,0.258,0.327
0.5,126,214.1,40,AL,195,97,3.91,6,0.244,0.303
0.647,126,163.1,25,AL,145,73,3.75,3,0.236,0.292
0.5,126,163.1,30,NL,143,77,3.64,6,0.233,0.294
0.333,126,157.1,30,NL,143,76,3.72,14,0.247,0.332
0.583,126,197.1,25,NL,188,82,3.47,6,0.253,0.31
0.571,126,156.1,26,AL,160,83,4.14,9,0.258,0.301
0.609,126,185.2,25,AL,180,79,3.39,3,0.257,0.312
0.579,126,161.2,29,NL,160,82,4.45,12,0.257,0.326
0.619,126,169,27,AL,149,73,3.51,2,0.234,0.288
0.4,126,183.2,26,AL,206,114,5.34,17,0.283,0.354
0.188,125,144.1,26,AL,154,75,4.49,11,0.275,0.324
0.435,125,173.1,23,AL,166,123,6.13,26,0.25,0.35
0.364,125,155.2,32,AL,159,107,5.55,10,0.262,0.338
0.737,125,145.2,29,AL,116,50,2.9,3,0.218,0.284
0.533,125,133.2,25,NL,152,69,4.44,15,0.29,0.349
0.4,125,142.1,32,AL,150,93,5.44,26,0.268,0.354
0.429,125,176.2,28,NL,203,101,4.69,16,0.288,0.319
0.588,125,166.1,25,NL,146,69,3.52,8,0.242,0.336
0.524,125,198.2,34,NL,196,78,3.35,8,0.259,0.295
0.5,125,202.1,33,NL,197,88,3.74,5,0.258,0.296
0.48,125,191,29,NL,214,100,4.48,14,0.285,0.331
0.357,125,129.1,32,AL,118,63,3.62,3,0.241,0.309
0.667,124,139,31,NL,126,67,4.21,11,0.24,0.314
0.5,124,85,30,AL,61,18,1.8,1,0.201,0.255
0.438,124,149.2,36,NL,141,84,4.51,14,0.249,0.327
0,124,73.1,24,AL,41,17,1.96,5,0.16,0.229
0.654,124,191.1,24,NL,204,90,3.9,7,0.275,0.331
0.571,124,133.1,26,NL,125,59,3.85,8,0.25,0.344
0.438,124,144.2,24,AL,135,65,3.86,3,0.248,0.298
0.318,124,177.2,30,AL,195,104,4.71,7,0.281,0.334
0.643,124,145.2,28,NL,134,60,3.71,4,0.247,0.311
0.542,124,202.2,35,AL,215,100,4.13,10,0.273,0.323
0.8,124,136,27,AL,122,49,3.04,7,0.241,0.278
0.538,124,202,36,NL,199,88,3.79,3,0.258,0.293
0.556,124,152.1,24,AL,132,74,3.96,12,0.233,0.308
0.476,124,177,25,AL,163,68,3.1,7,0.244,0.308
0.391,124,181,27,AL,198,122,5.77,13,0.282,0.381
0.667,124,170.2,33,NL,175,73,3.64,24,0.269,0.331
0.421,124,161.1,25,NL,154,62,3.18,3,0.251,0.294
0.481,124,210.1,29,AL,203,98,3.77,33,0.258,0.324
0.579,123,128,24,NL,130,69,4.36,10,0.261,0.313
0.55,123,130.1,28,AL,138,73,4.9,7,0.27,0.349
0.583,123,139.2,27,NL,126,49,3.03,13,0.242,0.298
0.909,123,74.1,31,AL,42,13,1.45,1,0.16,0.193
0.286,123,140.2,30,NL,168,105,6.33,14,0.302,0.373
0.4,123,172.1,27,AL,180,98,4.75,7,0.271,0.327
0.375,123,153.2,25,AL,184,96,5.15,7,0.297,0.354
0.571,123,134.2,29,AL,126,50,3.14,4,0.248,0.296
0.5,123,170.2,27,AL,168,73,3.32,11,0.258,0.281
0.889,122,77.1,25,AL,46,15,1.63,2,0.167,0.229
0.333,122,165.1,23,AL,154,80,4.19,1,0.247,0.329
0.471,122,149.2,31,NL,132,73,4.15,6,0.237,0.319
0.579,122,153.1,30,AL,138,76,3.82,16,0.239,0.327
0.667,122,192.1,25,NL,193,78,3.37,9,0.263,0.312
0.5,122,71.2,24,NL,35,13,1.51,5,0.141,0.225
0.75,122,123,28,NL,120,49,3.44,5,0.254,0.295
0.5,122,125.1,28,AL,113,59,4.16,6,0.243,0.312
0.522,121,155,26,AL,138,68,3.6,0,0.234,0.285
0.389,121,136.1,24,NL,150,83,4.95,1,0.277,0.345
0.545,121,158,29,AL,182,93,5.07,1,0.292,0.358
0.4,121,111,23,NL,116,68,4.78,5,0.264,0.316
0.824,121,154.1,25,AL,175,72,4.2,3,0.285,0.339
0.357,121,118,30,NL,117,57,3.89,9,0.259,0.326
0.542,121,184.1,29,AL,193,76,3.42,10,0.268,0.331
0.429,121,146,28,NL,151,79,4.62,8,0.264,0.319
0.435,121,199,29,NL,214,108,4.61,5,0.276,0.333
0.222,121,145.2,27,AL,170,91,5.19,8,0.293,0.34
0.706,121,144.2,32,AL,130,70,4.17,9,0.238,0.286
0.63,121,215.2,33,NL,188,95,3.88,6,0.234,0.29
0.5,121,157.1,33,AL,155,96,5.32,4,0.258,0.333
0.348,120,147.2,27,NL,136,79,4.69,5,0.251,0.346
0.737,120,148.2,36,AL,139,64,3.69,4,0.246,0.312
0.45,120,151.2,28,NL,155,83,4.39,7,0.266,0.33
0.538,120,130.2,29,NL,93,42,2.62,2,0.196,0.25
