Win-Loss Percentage,SO,IP,Age,Lg,H,R,ERA,SB,BA,OBP
0.556,271,248.1,28,AL,230,100,3.26,12,0.24,0.272
0.652,259,214.1,24,AL,186,86,3.28,7,0.23,0.271
0.625,251,226.2,26,NL,179,79,2.74,6,0.213,0.265
0.714,248,236,28,AL,170,68,2.14,20,0.2,0.243
0.6,239,201.1,29,NL,180,87,3.53,18,0.238,0.293
0.652,226,190.2,26,NL,139,76,3.4,8,0.202,0.29
0.6,223,227.2,30,AL,208,103,3.52,14,0.239,0.295
0.652,219,206,34,AL,170,80,3.36,9,0.221,0.29
0.75,218,162,25,NL,116,57,2.89,8,0.199,0.291
0.556,208,215.1,33,NL,198,110,3.85,16,0.244,0.323
0.789,204,175.1,28,NL,131,55,2.52,7,0.204,0.265
0.833,201,167,34,AL,130,63,3.13,4,0.214,0.303
0.75,200,200.2,32,AL,185,83,3.32,23,0.243,0.319
0.577,199,207.2,34,NL,181,77,3.21,2,0.231,0.275
0.6,198,201.2,26,NL,189,92,3.97,7,0.252,0.327
0.714,197,200,31,AL,184,89,3.38,10,0.238,0.285
0.714,197,159.1,23,NL,136,62,3.16,14,0.23,0.291
0.625,188,201,31,NL,158,69,2.96,14,0.216,0.298
0.556,187,208.1,27,NL,216,101,4.02,4,0.266,0.322
0.714,186,150.2,30,AL,138,71,3.82,7,0.242,0.309
0.577,185,178.1,28,NL,177,103,4.74,7,0.26,0.345
0.789,183,147.2,27,NL,119,59,3.6,3,0.218,0.278
0.625,182,191.2,27,AL,166,77,3.47,14,0.234,0.316
0.6,181,203.2,27,NL,185,72,2.74,1,0.238,0.307
0.682,178,159,29,AL,139,65,3.51,1,0.234,0.3
0.577,178,225,26,AL,176,85,2.92,18,0.216,0.296
0.652,177,213.1,29,AL,209,94,3.75,12,0.253,0.314
0.556,176,207.1,27,AL,181,94,3.65,6,0.236,0.305
0.625,174,195,26,AL,207,101,4.43,12,0.272,0.325
0.538,276,228.2,30,NL,176,74,2.79,6,0.208,0.242
0.56,242,215,25,NL,198,86,3.14,13,0.245,0.286
0.667,238,202,29,NL,169,81,3.25,11,0.227,0.293
0.56,230,196,23,NL,179,90,3.77,10,0.241,0.3
0.7,230,193.1,23,AL,150,73,2.98,4,0.208,0.266
0.609,229,227.2,24,NL,170,70,2.53,8,0.21,0.27
0.609,228,176.2,24,AL,131,69,3.41,3,0.205,0.273
0.636,222,222.2,34,NL,193,77,2.87,3,0.232,0.263
0.5,222,233.2,25,AL,218,99,3.47,31,0.248,0.304
0.609,218,183.2,23,NL,168,61,2.6,48,0.243,0.287
0.538,216,183.2,28,AL,154,75,3.63,13,0.228,0.277
0.778,215,182.1,24,NL,153,77,3.26,8,0.223,0.268
0.636,205,191,27,NL,149,59,2.54,4,0.215,0.255
0.636,202,182,29,AL,156,56,2.57,25,0.229,0.286
0.583,201,191.2,26,AL,184,77,3.62,12,0.252,0.315
0.583,200,208.1,31,AL,190,86,3.59,13,0.244,0.308
0.667,200,185,24,NL,178,89,3.84,11,0.251,0.324
0.636,195,200.1,25,AL,194,94,3.68,12,0.251,0.302
0.583,195,185,25,AL,156,79,3.45,3,0.226,0.287
0.583,195,193,28,AL,156,75,3.45,9,0.222,0.312
0.609,194,216,27,NL,169,68,2.79,23,0.214,0.259
0.583,189,184.2,22,NL,150,63,2.92,7,0.217,0.272
0.667,187,210.2,25,NL,197,82,3.16,14,0.247,0.305
0.519,186,221,23,NL,188,82,2.89,14,0.232,0.279
0.7,185,219.2,32,AL,179,69,2.66,5,0.22,0.258
0.778,185,209.1,24,NL,179,87,3.48,17,0.23,0.291
0.667,184,179.2,23,NL,168,65,3.01,2,0.25,0.32
0.519,184,198.2,30,NL,196,96,3.94,2,0.259,0.309
0.583,183,219,24,AL,187,84,3.08,7,0.232,0.301
0.737,182,199.2,28,NL,185,67,2.66,3,0.244,0.277
0.636,180,227,32,AL,224,95,3.21,6,0.256,0.298
0.636,180,223.2,29,NL,212,88,3.14,10,0.248,0.303
0.583,179,191,26,NL,179,69,3.2,12,0.246,0.296
0.583,179,196,31,NL,193,90,3.95,7,0.266,0.323
0.519,178,189.2,27,NL,208,97,4.03,6,0.276,0.331
0.636,178,208.1,23,NL,189,81,3.41,2,0.24,0.296
0.519,177,224.2,38,AL,207,113,4.21,8,0.242,0.306
0.519,175,211,32,AL,224,122,4.78,6,0.272,0.326
0.609,174,210,25,AL,189,98,3.73,4,0.242,0.32
0.519,173,215.2,39,AL,191,101,3.71,3,0.233,0.306
0.591,277,209.2,26,AL,145,68,2.83,18,0.194,0.277
0.542,274,208.2,26,AL,185,88,3.41,5,0.233,0.282
0.52,233,224.1,27,AL,187,83,3.01,27,0.222,0.267
0.52,232,249.2,24,AL,194,80,2.27,15,0.212,0.273
0.591,223,232,26,AL,209,84,3.06,17,0.241,0.296
0.481,220,217,27,NL,176,74,2.74,23,0.222,0.302
0.52,217,218.1,30,AL,212,94,3.46,21,0.253,0.315
0.65,216,202.1,33,NL,189,93,3.91,15,0.248,0.327
0.565,212,204.1,22,NL,160,73,2.91,8,0.214,0.295
0.619,207,200,27,AL,164,71,3.02,15,0.223,0.291
0.5,207,201,29,NL,189,85,3.63,15,0.25,0.314
0.591,205,193.1,27,NL,142,74,3.07,17,0.204,0.307
0.565,202,183,26,NL,130,65,2.85,3,0.195,0.275
0.591,199,201.1,23,NL,146,68,2.77,8,0.203,0.27
0.591,196,228.2,31,AL,215,82,3.15,5,0.251,0.31
0.481,195,195.2,27,NL,165,75,2.81,31,0.23,0.307
0.52,194,178.1,28,AL,180,100,4.74,4,0.257,0.304
0.591,194,182.2,29,AL,163,75,3.3,16,0.239,0.317
0.5,193,211.2,32,NL,162,70,2.76,15,0.213,0.268
0.5,191,204.2,21,NL,202,82,3.21,12,0.26,0.304
0.619,188,189.1,26,NL,156,62,2.71,11,0.222,0.265
0.464,187,203.1,28,AL,246,128,5.18,10,0.294,0.338
0.52,181,208,27,AL,192,76,3.2,6,0.247,0.295
0.591,181,204.2,25,NL,177,79,3.21,4,0.232,0.275
0.619,180,180.2,33,NL,179,101,4.33,19,0.259,0.32
0.565,177,184.2,29,AL,206,92,4.34,4,0.282,0.334
0.542,177,223.1,25,NL,181,84,3.14,19,0.221,0.276
0.565,175,218,36,NL,211,71,2.77,9,0.256,0.303
0.65,175,193,31,AL,146,65,2.89,31,0.211,0.273
0.565,173,202.1,31,AL,181,102,3.83,22,0.239,0.323
0.48,252,212,26,AL,175,85,3.23,7,0.22,0.282
0.75,237,158,29,AL,102,39,2.11,6,0.181,0.243
0.6,235,174.1,27,NL,150,91,4.34,10,0.234,0.325
0.632,229,202.1,26,NL,176,91,3.87,7,0.233,0.315
0.667,221,175.1,27,AL,134,51,2.21,11,0.208,0.28
0.48,218,224.1,25,AL,192,93,3.49,20,0.23,0.289
0.522,217,205,25,NL,179,93,3.64,4,0.232,0.303
0.545,216,204.1,27,AL,185,74,3.04,17,0.243,0.286
0.522,211,208.2,26,NL,185,74,3.06,10,0.237,0.299
0.75,208,174,25,AL,129,48,2.17,4,0.205,0.262
0.632,205,186.2,31,NL,155,75,3.38,11,0.223,0.298
0.522,202,192.1,24,AL,159,83,3.84,8,0.222,0.293
0.667,199,175.1,28,NL,171,75,3.49,18,0.257,0.315
0.5,196,203,26,NL,199,98,4.26,17,0.254,0.306
0.48,196,201,30,AL,174,90,3.72,13,0.228,0.292
0.8,188,179.2,27,AL,163,71,3.51,1,0.241,0.292
0.667,187,172.2,20,NL,111,47,2.19,6,0.182,0.257
0.571,185,212.1,31,AL,195,84,3.18,4,0.24,0.255
0.522,184,168,24,NL,154,67,3.54,21,0.241,0.297
0.522,184,195.2,25,AL,174,84,3.5,17,0.244,0.316
0.571,183,172.1,26,NL,180,102,5.12,12,0.266,0.323
0.632,179,182.1,28,NL,150,69,3.31,8,0.225,0.291
0.522,179,221.2,26,NL,177,82,2.88,18,0.217,0.279
0.706,175,174,24,NL,174,96,4.76,4,0.259,0.299
0.75,172,149,28,NL,97,31,1.69,1,0.184,0.204
0.579,255,204,31,NL,154,59,2.43,24,0.207,0.257
0.611,246,200,28,NL,162,70,3.15,10,0.218,0.27
0.611,243,172.1,34,NL,144,59,2.92,8,0.222,0.266
0.579,231,196.1,23,NL,135,62,2.75,1,0.192,0.256
0.44,226,214.1,24,AL,184,81,3.07,19,0.23,0.282
0.647,208,160.1,29,AL,134,67,3.76,5,0.224,0.275
0.478,207,205,31,NL,183,83,3.34,44,0.24,0.288
0.579,205,175.1,29,NL,122,59,2.87,14,0.196,0.281
0.5,203,179.1,26,AL,162,103,4.72,17,0.237,0.314
0.478,199,209,27,NL,181,85,3.49,14,0.234,0.291
0.579,195,195.1,29,NL,196,93,3.96,6,0.258,0.303
0.478,194,219,31,AL,191,88,3.37,9,0.234,0.284
0.579,192,195.2,27,NL,169,79,3.36,11,0.231,0.305
0.55,191,237.1,36,NL,243,98,3.45,5,0.264,0.309
0.579,189,170.2,28,AL,156,68,3.11,8,0.238,0.268
0.5,187,185.1,24,NL,167,84,3.54,7,0.24,0.326
0.647,186,183.2,26,NL,155,51,2.3,15,0.229,0.282
0.5,184,195.2,31,AL,173,81,3.68,6,0.236,0.308
0.458,184,184.2,23,AL,173,92,4.48,22,0.245,0.307
0.393,181,203.1,28,AL,236,125,4.65,15,0.286,0.328
0.579,180,188.1,37,NL,146,74,3.35,15,0.218,0.281
0.478,179,186.2,26,AL,208,99,4.68,9,0.283,0.349
0.478,178,228.2,28,AL,207,95,3.38,28,0.241,0.304
0.478,178,195,31,NL,183,95,3.6,13,0.25,0.319
0.5,175,177.1,23,AL,158,85,3.81,19,0.238,0.326
0.458,174,168,24,AL,156,79,4.12,4,0.242,0.307
0.5,174,182.2,28,NL,160,88,4.14,22,0.236,0.344
0.5,173,190.1,34,AL,190,115,5.15,24,0.26,0.339
0.526,269,217,30,NL,152,48,1.7,15,0.196,0.244
0.455,249,201,28,AL,193,101,4.07,6,0.246,0.303
0.455,212,196,28,NL,172,78,3.26,37,0.237,0.322
0.476,209,191,36,NL,165,79,3.3,22,0.231,0.304
0.556,202,197.2,26,NL,194,101,4.28,42,0.256,0.304
0.5,197,198,27,NL,186,90,3.32,10,0.245,0.304
0.417,193,197.2,29,NL,184,102,4.37,21,0.248,0.322
0.417,191,202.1,34,NL,211,111,4.8,17,0.271,0.343
0.4,190,186,28,NL,183,111,5.18,25,0.257,0.341
0.526,189,213,26,AL,210,90,3.42,8,0.259,0.313
0.5,185,168,24,NL,153,92,4.61,10,0.243,0.317
0.588,182,144.1,27,AL,133,54,3.06,10,0.241,0.305
0.417,181,220,26,AL,219,114,4.17,12,0.26,0.308
0.435,179,196.2,30,AL,177,88,3.62,3,0.242,0.316
0.588,178,146.1,25,AL,136,76,4.49,8,0.248,0.337
0.526,176,186,33,AL,186,104,4.98,8,0.256,0.322
0.556,176,172,34,AL,153,76,3.82,9,0.234,0.306
0.526,173,194.2,25,AL,177,85,3.33,14,0.243,0.314
0.476,173,202.2,23,NL,182,86,3.33,33,0.239,0.301
0.36,245,222,29,AL,189,92,3.49,16,0.231,0.279
0.429,238,185.1,28,AL,178,101,4.56,4,0.247,0.301
0.321,233,201.1,27,AL,183,100,4.02,13,0.238,0.3
0.375,205,207.2,32,NL,204,107,4.42,6,0.255,0.287
0.5,203,207.2,29,NL,191,99,3.9,14,0.245,0.291
0.5,198,204.2,30,NL,176,60,2.46,19,0.235,0.296
0.643,191,178.1,24,NL,135,46,2.27,2,0.209,0.248
